name,ip-address,colortype,tag
SMTP-SENDGRID01,34.237.250.201,blue,SMTP-SENDGRID01
SMTP-SENDGRID02,3.143.42.84,blue,SMTP-SENDGRID02
SMTP-SENDGRID03,3.130.222.27,blue,SMTP-SENDGRID03
SMTP-SENDGRID04,3.14.57.160,blue,SMTP-SENDGRID04
SMTP-SENDGRID05,18.220.115.186,blue,SMTP-SENDGRID05
SMTP-SENDGRID06,52.0.142.242,blue,SMTP-SENDGRID06
SMTP-SENDGRID07,18.221.176.109,blue,SMTP-SENDGRID07
SMTP-SENDGRID08,18.223.240.158,blue,SMTP-SENDGRID08
SMTP-SENDGRID09,54.157.14.6,blue,SMTP-SENDGRID09
SMTP-SENDGRID10,54.146.218.5,blue,SMTP-SENDGRID10
SMTP-SENDGRID11,52.204.68.213,blue,SMTP-SENDGRID11
SMTP-SENDGRID12,107.20.8.136,blue,SMTP-SENDGRID12
